,Time (min),Date,Bioreactor 14 - CER,Bioreactor 14 - Feed#1 flow rate,Bioreactor 14 - Off-gas CO2%,Bioreactor 14 - OUR,Bioreactor 14 - RQ,Bioreactor 14 - Volume
0,0.0,2018-07-30,,0.0,,,,100.0
1,30.0,2018-07-30,,0.0,,,,100.0
2,60.0,2018-07-30,,0.0,0.0167890547640741,,,100.0
3,90.0,2018-07-30,,0.0,0.0164805048001631,,,100.0
4,120.0,2018-07-30,,0.0,0.016082110573086,,,100.0
5,150.0,2018-07-30,,0.0,0.0159368159127292,,,100.0
6,180.0,2018-07-30,,0.0,0.0155212654575486,,,100.0
7,210.0,2018-07-30,,0.0,0.015167718003137,,,100.0
8,240.0,2018-07-30,,0.0,0.015028417696015,,,100.0
9,270.0,2018-07-30,,0.0,0.0150427523784926,,,100.0
10,300.0,2018-07-30,,0.0,0.0150641460687848,,,100.0
11,330.0,2018-07-30,,0.0,0.0150212720215221,,,100.0
12,360.0,2018-07-30,,0.0,0.0150142000136933,,,100.0
13,390.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
14,420.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
15,450.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
16,480.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
17,510.0,2018-07-30,,0.0,0.0150213153548751,,,100.0
18,540.0,2018-07-30,,0.0,0.0150213803549463,,,100.0
19,570.0,2018-07-31,,0.0,0.0149999996647239,,,100.0
20,600.0,2018-07-31,,0.0,0.007306965300785091,,,99.99594710411141
21,630.0,2018-07-31,,0.0,0.0,,,99.9807899821089
22,660.0,2018-07-31,,0.0,0.0,,,99.9649959125927
23,690.0,2018-07-31,,0.0,0.0,,,100.23259537147499
24,720.0,2018-07-31,,0.0,0.0,,,100.374564121845
25,750.0,2018-07-31,,0.0,0.0,,,100.379357484927
26,780.0,2018-07-31,,0.0,0.0,,,100.37174024611
27,810.0,2018-07-31,,0.0,0.0,,,100.35596104833799
28,840.0,2018-07-31,,0.0,0.0,,,100.34018157855301
29,870.0,2018-07-31,,0.0,0.0,,,100.324406645641
30,900.0,2018-07-31,,0.0,0.0,,,100.308632656887
31,930.0,2018-07-31,,0.0,0.0,,,100.292856199595
32,960.0,2018-07-31,,0.0,0.0,,,100.277077662351
33,990.0,2018-07-31,,0.0,0.0,,,100.26130195123001
34,1020.0,2018-07-31,,0.0,0.0,,,100.24552667441401
35,1050.0,2018-07-31,,0.0,0.0,,,100.229749907543
36,1080.0,2018-07-31,,0.0,0.0,,,100.213974031582
37,1110.0,2018-07-31,,0.0,0.0,,,100.198198358687
38,1140.0,2018-07-31,,0.0,0.0,,,100.18242558597
39,1170.0,2018-07-31,0.0740754726586416,0.0,0.004396759123298221,1.13080395223728,0.134105452375757,101.769765011115
40,1200.0,2018-07-31,0.4315112420668139,0.0,0.031908671858406,1.52865347201586,0.27874855336730603,102.151850484318
41,1230.0,2018-07-31,1.03876403025351,0.0,0.0768025229984083,2.11646351065376,0.48395819590332595,102.14403345621
42,1260.0,2018-07-31,2.14444438592347,0.0,0.158546643893141,3.33129367556459,0.640279748913888,102.15472738695298
43,1290.0,2018-07-31,3.6604088034144,0.0,0.270647998130641,4.883898175665401,0.747168346839155,102.16806826910299
44,1320.0,2018-07-31,5.60268228674989,0.0,0.414243425968738,6.65563356331049,0.841572866750972,102.184116430532
45,1350.0,2018-07-31,7.80972760802847,0.0,0.577575294507369,9.257735037464462,0.84575683934448,102.208650197875
46,1380.0,2018-07-31,9.159927027954279,0.0,0.677336871303946,10.2519170829651,0.898068100230432,102.235520227462
47,1410.0,2018-07-31,8.49704722884713,0.0,0.62819598041032,9.183860434833141,0.925245999952756,102.243767993615
48,1440.0,2018-07-31,8.72007434396045,0.0,0.6444709201929331,9.402999255713741,0.9278821853533791,102.244491244603
49,1470.0,2018-07-31,9.028437447119051,0.0,0.667540825016348,9.96827332237465,0.9058896218575708,102.252086440434
50,1500.0,2018-07-31,9.441806670315161,0.0,0.6981105545820311,10.440153246596699,0.9043143647654821,102.27123573745399
51,1530.0,2018-07-31,10.019899396893301,0.0,0.7409242205834431,11.052486320889098,0.906645100654869,102.31446854471399
52,1560.0,2018-07-31,10.8081303917634,0.0,0.7991605171661709,11.900332352907,0.9082263771699008,102.34890600796899
53,1590.0,2018-07-31,11.6284927833812,0.0,0.8597685142521,12.7599414288183,0.9114023459392191,102.38739335195
54,1620.0,2018-07-31,12.502842161301999,0.0,0.9245231542205559,13.606821468034802,0.9190883872009631,102.43655284558399
