"Date Time","Bioreactor 24 - CER","Bioreactor 24 - Feed#1 flow rate","Bioreactor 24 - Off-gas CO2%","Bioreactor 24 - OUR","Bioreactor 24 - RQ","Bioreactor 24 - Volume"
2018-07-30 14:30:00,NaN,0,NaN,NaN,NaN,100
2018-07-30 15:00:00,NaN,0,NaN,NaN,NaN,100
2018-07-30 15:30:00,NaN,0,0.00899999961256981,NaN,NaN,100
2018-07-30 16:00:00,NaN,0,0.00899999961256981,NaN,NaN,100
2018-07-30 16:30:00,NaN,0,0.00880251563216271,NaN,NaN,100
2018-07-30 17:00:00,NaN,0,0.00823734225793823,NaN,NaN,100
2018-07-30 17:30:00,NaN,0,0.00800680454142469,NaN,NaN,100
2018-07-30 18:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 18:30:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 19:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 19:30:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 20:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 20:30:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 21:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 21:30:00,NaN,0,0.00799282437874782,NaN,NaN,100
2018-07-30 22:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 22:30:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 23:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-30 23:30:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-31 00:00:00,NaN,0,0.00800000037997961,NaN,NaN,100
2018-07-31 00:30:00,NaN,0,0.00334056799233068,NaN,NaN,99.9959788999042
2018-07-31 01:00:00,NaN,0,0,NaN,NaN,99.9808342112711
2018-07-31 01:30:00,NaN,0,0,NaN,NaN,99.965039222433
2018-07-31 02:00:00,NaN,0,0,NaN,NaN,100.221340803969
2018-07-31 02:30:00,NaN,0,0,NaN,NaN,100.368911276075
2018-07-31 03:00:00,NaN,0,0,NaN,NaN,100.378363807903
2018-07-31 03:30:00,NaN,0,0,NaN,NaN,100.373577824345
2018-07-31 04:00:00,NaN,0,0,NaN,NaN,100.357797848778
2018-07-31 04:30:00,NaN,0,0,NaN,NaN,100.342018456319
2018-07-31 05:00:00,NaN,0,0,NaN,NaN,100.326242075042
2018-07-31 05:30:00,NaN,0,0,NaN,NaN,100.310464619753
2018-07-31 06:00:00,NaN,0,0,NaN,NaN,100.294691431109
2018-07-31 06:30:00,NaN,0,0,NaN,NaN,100.278914598015
2018-07-31 07:00:00,NaN,0,0,NaN,NaN,100.263137290887
2018-07-31 07:30:00,NaN,0,0,NaN,NaN,100.247359290214
2018-07-31 08:00:00,NaN,0,0,NaN,NaN,100.231585282655
2018-07-31 08:30:00,NaN,0,0,NaN,NaN,100.215809954679
2018-07-31 09:00:00,NaN,0,0,NaN,NaN,100.20003071858
2018-07-31 09:30:00,NaN,0,0,NaN,NaN,100.184252733184
2018-07-31 10:00:00,0.0179115707483078,0,0.000915889735238154,NaN,NaN,101.550740673512
2018-07-31 10:30:00,0.279373655685093,0,0.0206542786786925,1.33542577231808,0.205527900507012,102.153374698916
2018-07-31 11:00:00,0.74516862012966,0,0.0551117461235923,1.96432109980034,0.37563625151593,102.151478690164
2018-07-31 11:30:00,1.75471425711559,0,0.12977154047613,3.20701740038087,0.54367295239331,102.162256054947
2018-07-31 12:00:00,3.20113847191477,0,0.236705718313758,4.69444468896108,0.680618557091141,102.176112237858
2018-07-31 12:30:00,5.10256634781047,0,0.377260294163342,6.46975521887331,0.788100911969605,102.188909617426
2018-07-31 13:00:00,7.13377635863734,0,0.527678639123271,9.10219444249125,0.784561415308829,102.214487201837
2018-07-31 13:30:00,8.77384477103356,0,0.649139578098099,10.851241855464,0.810418470863957,102.248993522551
2018-07-31 14:00:00,8.81477377789702,0,0.651626078102861,9.60181027636008,0.918080454169805,102.247765246974
2018-07-31 14:30:00,8.4995371691807,0,0.62844890742025,9.72040239413291,0.874240629089296,102.252080970976
2018-07-31 15:00:00,8.85061170383103,0,0.654388397153015,10.0761375198058,0.878208448963238,102.260933583928
2018-07-31 15:30:00,9.24004278732893,0,0.68337065053403,10.714469773491,0.86240897476118,102.276345010037
2018-07-31 16:00:00,10.0289699233986,0,0.741726149850835,11.5115048454092,0.871694655381243,102.300841086061
2018-07-31 16:30:00,10.818273807473,0,0.800322529312537,12.4294040879061,0.870602800821878,102.334577665155
2018-07-31 17:00:00,11.7841459709318,0,0.87175878062505,13.3769256451916,0.881021694345711,102.378386869165
2018-07-31 17:30:00,12.6480026399551,0,0.935479215834308,14.3869458898006,0.879117746925119,102.430557525744
2018-07-31 18:00:00,13.4461307775976,0,0.994872908782781,15.2887636386993,0.879481209477144,102.492423515222
2018-07-31 18:30:00,14.1371287438391,0,1.04584040674295,15.8437341306617,0.892339593776215,102.560028201256
2018-07-31 19:00:00,14.6775176858894,0,1.08542119482247,16.0766215979297,0.913149172435583,102.633742030349
2018-07-31 19:30:00,14.779001744394,0,1.09292856695142,15.9991833070922,0.923834873521319,102.707803070668
2018-07-31 20:00:00,15.2611312054958,0,1.12870559191875,16.6281789633915,0.917875984959282,102.786650095929
2018-07-31 20:30:00,15.9225900712315,0,1.17736841983639,17.2347368106186,0.923975306034938,102.869927829047
2018-07-31 21:00:00,16.3859489251508,0,1.21170040977806,17.7316962754959,0.924186576938049,102.958290160326
