# Time (hours),C-mol-Biomass,mol-Glucose,mol-Serine
2.00,0.000553831,0.008247296,0
3.50,0.000717018,0.007877992,0
5.00,0.001717484,0.007192482,0
6.50,0.002650645,0.006957467,0.000183464
8.00,0.003214291,0.00627956,0.000360008
9.50,0.003883311,0.005727587,0.000706176
11.00,0.004467489,0.005067913,
12.50,0.005314392,0.00467803,0.001187366
14.00,0.005880333,0.004131463,
16.00,0.007106993,0.003177671,0.001938599
18.00,0.008712835,0.002200468,
20.00,0.011325052,0.000901145,0.003503424
23.50,0.010865276,2.40088E-05,0.003894724
