Time (hours),C-mol-Biomass,mol-Glucose,mol-Serine
2.0,0.000434779,0.008179784,0.0
3.5,0.000447258,0.008124946,0.0
5.0,0.001387698,0.007689912,0.0
6.5,0.002454927,0.007266546,0.0
8.0,0.002981806,0.006301904,0.000361937
9.5,0.0036309,0.005894367,0.000532544
12.5,0.004569709,0.004969865,0.001364849
16.0,0.005963423,0.003344456,0.002763289
20.0,0.007666596,0.001025496,0.003986716
23.0,0.010221135,2.28911e-05,0.005564221
