,0,mu
0,0.5,0.1186
1,1.0,0.179
2,2.0,0.2131
3,3.0,0.2131
4,5.0,0.3385
5,7.5,0.2865
6,10.0,0.401
7,20.0,0.3304
8,40.0,0.3031
9,60.0,0.2656
10,150.0,0.1916
