"Time","Bioreactor 23 - Air flow","Bioreactor 23 - Base volume pumped","Bioreactor 23 - CER","Bioreactor 23 - DO","Bioreactor 23 - Feed#1 flow rate","Bioreactor 23 - Feed#1 volume pumped","Bioreactor 23 - Off-gas CO2%","Bioreactor 23 - OUR","Bioreactor 23 - pH","Bioreactor 23 - RQ","Bioreactor 23 - Sampling events","Bioreactor 23 - Stir speed","Bioreactor 23 - Temperature","Bioreactor 23 - Volume"
-19.5,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,100
-19,0,NaN,NaN,NaN,0,NaN,0.0164802766708954,NaN,5.12463632889403,NaN,,0,29.3272699074639,100
-18.5,0,NaN,NaN,99.6224410227554,0,NaN,0.0160905599414697,NaN,5.12747537610021,NaN,,781.359567600066,30.4910055780051,100
-18,0,NaN,NaN,98.1082580223389,0,NaN,0.0160272640977613,NaN,5.15545691752098,NaN,,1399.81920636155,36.7714983451119,100
-17.5,0,NaN,NaN,97.5934246110878,0,NaN,0.0159727790634784,NaN,5.15346258955803,NaN,,1399.82807147854,36.9776152027596,100
-17,0,NaN,NaN,97.6650454039338,0,NaN,0.0155798421377871,NaN,5.14969458903171,NaN,,1399.88037139743,36.9998900832272,100
-16.5,0,NaN,NaN,97.7358006465349,0,NaN,0.0151090603397264,NaN,5.14462322263509,NaN,,1400.04857400774,36.9992527039183,100
-16,0,NaN,NaN,97.7711755338705,0,NaN,0.0150208746876425,NaN,5.13994317043854,NaN,,1399.89320808814,37.0015480113635,100
-15.5,0,NaN,NaN,97.8370775064917,0,NaN,0.0149999996647239,NaN,5.1366744401872,NaN,,1400.1407206869,36.9967477860589,100
-15,0,NaN,NaN,97.9016923584294,0,NaN,0.0150142000136933,NaN,5.13321672430386,NaN,,1400.08144009958,36.9942246728341,100
-14.5,0,NaN,NaN,97.9797631072013,0,NaN,0.0150356240373243,NaN,5.13238021792712,NaN,,1400.3518981768,36.9975182286184,100
-14,0,NaN,NaN,98.0336366616289,0,NaN,0.0150070933392154,NaN,5.1297008825501,NaN,,1399.92395328064,37.0003701775424,100
-13.5,0,NaN,NaN,98.1195573550738,0,NaN,0.0150142260137218,NaN,5.12666851345564,NaN,,1399.98300256812,36.9950999314823,100
-13,0,NaN,NaN,98.1751074110797,0,NaN,0.0149999996647239,NaN,5.12045111043158,NaN,,1399.87988723034,36.9988234269882,100
-12.5,0,NaN,NaN,98.2431897024925,0,NaN,0.0149999996647239,NaN,5.11996417916694,NaN,,1400.2192760491,36.998371803871,100
-12,0,NaN,NaN,98.3188625798769,0,NaN,0.0149999996647239,NaN,5.12048702804605,NaN,,1400.23930806331,36.9918278172547,100
-11.5,0,NaN,NaN,98.2885898784446,0,NaN,0.0149999996647239,NaN,5.11977946957135,NaN,,1400.27566072003,37.0029239478078,100
-11,0,NaN,NaN,98.2776533304603,0,NaN,0.0149999996647239,NaN,5.11958759755432,NaN,,1400.15561907234,37.0128027844531,100
-10.5,0,NaN,NaN,98.3584520516398,0,NaN,0.0150070890058773,NaN,5.11848530985473,NaN,,1399.98134761464,36.9952332662315,100
-10,2.03465786129114,NaN,NaN,98.3342056308722,0,NaN,0.0150386234098357,NaN,5.11812163430642,NaN,,1399.70675833431,36.9976211472525,99.999997092071
-9.5,50.0026537217806,NaN,NaN,98.8585267998622,0,NaN,0.00215168898327817,NaN,5.12077373369569,NaN,,1400.20052897039,37.0043838939676,99.9918007834278
