,Time (min),Date,Bioreactor 16 - CER,"Bioreactor 16 - Feed#1 flow rate""",Bioreactor 16 - Off-gas CO2%,Bioreactor 16 - OUR,Bioreactor 16 - RQ,Bioreactor 16 - Volume
0,0.0,2018-07-30,,0.0,,,,100.0
1,30.0,2018-07-30,,0.0,,,,100.0
2,60.0,2018-07-30,,0.0,0.0210140621305489,,,100.0
3,90.0,2018-07-30,,0.0,0.0209732173177743,,,100.0
4,120.0,2018-07-30,,0.0,0.0206186277546354,,,100.0
5,150.0,2018-07-30,,0.0,0.020041234670863,,,100.0
6,180.0,2018-07-30,,0.0,0.0199999995529652,,,100.0
7,210.0,2018-07-30,,0.0,0.0199718454926559,,,100.0
8,240.0,2018-07-30,,0.0,0.0198933475347891,,,100.0
9,270.0,2018-07-30,,0.0,0.0198009478523659,,,100.0
10,300.0,2018-07-30,,0.0,0.0199004888693763,,,100.0
11,330.0,2018-07-30,,0.0,0.0198362861917971,,,100.0
12,360.0,2018-07-30,,0.0,0.0198437043873572,,,100.0
13,390.0,2018-07-30,,0.0,0.0195297631958211,,,100.0
14,420.0,2018-07-30,,0.0,0.0193065481079941,,,100.0
15,450.0,2018-07-30,,0.0,0.0195835418916747,,,100.0
16,480.0,2018-07-30,,0.0,0.0195623808510508,,,100.0
17,510.0,2018-07-30,,0.0,0.0196766154585582,,,100.0
18,540.0,2018-07-30,,0.0,0.0199216454803757,,,100.0
19,570.0,2018-07-31,,0.0,0.0197366442340441,,,100.0
20,600.0,2018-07-31,,0.0,0.0101420786530134,,,99.99594873129601
21,630.0,2018-07-31,,0.0,0.0,,,99.9807787297622
22,660.0,2018-07-31,,0.0,0.0,,,99.9649720811845
23,690.0,2018-07-31,,0.0,0.0,,,100.237455653452
24,720.0,2018-07-31,,0.0,0.0,,,100.369378741384
25,750.0,2018-07-31,,0.0,0.0,,,100.362219574234
26,780.0,2018-07-31,,0.0,0.0,,,100.346441203364
27,810.0,2018-07-31,,0.0,0.0,,,100.33066415015999
28,840.0,2018-07-31,,0.0,0.0,,,100.31488789269301
29,870.0,2018-07-31,,0.0,0.0,,,100.299108773494
30,900.0,2018-07-31,,0.0,0.0,,,100.283334132498
31,930.0,2018-07-31,,0.0,0.0,,,100.26755677014098
32,960.0,2018-07-31,,0.0,0.0,,,100.251778582351
33,990.0,2018-07-31,,0.0,0.0,,,100.236002298444
34,1020.0,2018-07-31,,0.0,0.0,,,100.220224860087
35,1050.0,2018-07-31,,0.0,0.0,,,100.204447876696
36,1080.0,2018-07-31,,0.0,0.0,,,100.188671464287
37,1110.0,2018-07-31,,0.0,0.0,,,100.17289149544901
38,1140.0,2018-07-31,,0.0,0.0,,,100.15711279441
39,1170.0,2018-07-31,0.114351049011716,0.0,0.00668741243083164,1.00021872537823,0.257076112840711,101.72174487406099
40,1200.0,2018-07-31,0.5158372239989261,0.0,0.038120036941031,1.2995545462701,0.39119639911354603,102.125847385062
41,1230.0,2018-07-31,1.14305680393049,0.0,0.0844668125162031,1.98124698554457,0.572538350056209,102.117160640484
42,1260.0,2018-07-31,2.2642163291795296,0.0,0.16738409785023098,3.21076420919334,0.701345254731253,102.12757958613001
43,1290.0,2018-07-31,3.83250692493384,0.0,0.28319559452575604,4.6821925686701205,0.8167463485413929,102.13952320805599
44,1320.0,2018-07-31,5.81790890989093,0.0,0.429875278158969,6.4726110167424595,0.899466008522933,102.152838773376
45,1350.0,2018-07-31,8.04844385090156,0.0,0.5948834580221241,8.97807569528748,0.89906832276125,102.173788771819
46,1380.0,2018-07-31,9.607979546492858,0.0,0.7095435915877959,10.3010275511034,0.9380710290768409,102.201104583351
47,1410.0,2018-07-31,8.910224732145359,0.0,0.65825315348096,9.138591129104789,0.975227169720135,102.20903458978
48,1440.0,2018-07-31,9.039689996496989,0.0,0.667913757929213,9.25533277641566,0.9769493252534901,102.20854978751
49,1470.0,2018-07-31,9.40285565840905,0.0,0.69473500016644,9.657283087889711,0.973858088868915,102.213335963571
50,1500.0,2018-07-31,9.86601238466147,0.0,0.72889583553016,10.417726397108801,0.9472271376449649,102.22825046517299
51,1530.0,2018-07-31,10.458797697521,0.0,0.772662932648682,10.942539863814302,0.9557541725183791,102.246488415426
52,1560.0,2018-07-31,11.128396694712999,0.0,0.8220638021553691,11.762229972029099,0.9461038770581379,102.277140217092
53,1590.0,2018-07-31,12.075197567179101,0.0,0.8921712844823779,12.6967944928699,0.9511576322937589,102.313138015585
54,1620.0,2018-07-31,12.9597870355723,0.0,0.957349419150697,13.550540613675802,0.956431460729271,102.354561537398
