,Time (min),Date,Bioreactor 23 - CER,Bioreactor 23 - Feed#1 flow rate,Bioreactor 23 - Off-gas CO2%,Bioreactor 23 - OUR,Bioreactor 23 - RQ,Bioreactor 23 - Volume
0,0.0,2018-07-30,,0.0,,,,100.0
1,30.0,2018-07-30,,0.0,,,,100.0
2,60.0,2018-07-30,,0.0,0.0161897432344814,,,100.0
3,90.0,2018-07-30,,0.0,0.0160545166022284,,,100.0
4,120.0,2018-07-30,,0.0,0.0159931874191637,,,100.0
5,150.0,2018-07-30,,0.0,0.0157593139818231,,,100.0
6,180.0,2018-07-30,,0.0,0.0151734119106787,,,100.0
7,210.0,2018-07-30,,0.0,0.0150617700102102,,,100.0
8,240.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
9,270.0,2018-07-30,,0.0,0.0150070976725257,,,100.0
10,300.0,2018-07-30,,0.0,0.0150356240373243,,,100.0
11,330.0,2018-07-30,,0.0,0.015014195680383001,,,100.0
12,360.0,2018-07-30,,0.0,0.0150142260137217,,,100.0
13,390.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
14,420.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
15,450.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
16,480.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
17,510.0,2018-07-30,,0.0,0.0149999996647239,,,100.0
18,540.0,2018-07-30,,0.0,0.0150070890058773,,,100.0
19,570.0,2018-07-31,,0.0,0.0149999996647239,,,100.0
20,600.0,2018-07-31,,0.0,0.00676721401192164,,,99.9959737920726
21,630.0,2018-07-31,,0.0,0.0,,,99.9808280209144
22,660.0,2018-07-31,,0.0,0.0,,,99.96503394436441
23,690.0,2018-07-31,,0.0,0.0,,,100.206631219949
24,720.0,2018-07-31,,0.0,0.0,,,100.34450378535601
25,750.0,2018-07-31,,0.0,0.0,,,100.365792541044
26,780.0,2018-07-31,,0.0,0.0,,,100.35209614237
27,810.0,2018-07-31,,0.0,0.0,,,100.33632240516899
28,840.0,2018-07-31,,0.0,0.0,,,100.320546686285
29,870.0,2018-07-31,,0.0,0.0,,,100.30477218736401
30,900.0,2018-07-31,,0.0,0.0,,,100.288992689394
31,930.0,2018-07-31,,0.0,0.0,,,100.27321269188299
32,960.0,2018-07-31,,0.0,0.0,,,100.257437204563
33,990.0,2018-07-31,,0.0,0.0,,,100.24166553312901
34,1020.0,2018-07-31,,0.0,0.0,,,100.225892233992
35,1050.0,2018-07-31,,0.0,0.0,,,100.210117209972
36,1080.0,2018-07-31,,0.0,0.0,,,100.194343690665
37,1110.0,2018-07-31,,0.0,0.0,,,100.17856353644301
38,1140.0,2018-07-31,,0.0,0.0,,,100.162784936782
39,1170.0,2018-07-31,0.0695414746300187,0.0,0.00359185489011892,,,101.536697155056
40,1200.0,2018-07-31,0.41016601514918394,0.0,0.0303100772975068,1.2833633089569298,0.319670088038997,102.131640940823
41,1230.0,2018-07-31,0.9053709646063,0.0,0.066924025272722,1.9408967773669,0.461729515393373,102.13573483377701
42,1260.0,2018-07-31,2.0278389440223,0.0,0.14988579063217403,3.1970588986401802,0.633139093591882,102.141764742703
43,1290.0,2018-07-31,3.55378087429942,0.0,0.262736211962519,4.701275078429901,0.754450715249627,102.15542241860001
44,1320.0,2018-07-31,5.531296216134701,0.0,0.40877838821855605,6.47058738686546,0.854584971343734,102.168775269366
45,1350.0,2018-07-31,7.7335110283540205,0.0,0.571764236144509,9.13685147205892,0.847181412692522,102.19444053019699
46,1380.0,2018-07-31,9.324548048818231,0.0,0.6896240540998491,10.8203981099825,0.8639513670806851,102.229977566861
47,1410.0,2018-07-31,9.2202530270259,0.0,0.681183775146583,9.55244506210097,0.965383177938534,102.232066632259
48,1440.0,2018-07-31,9.137973299638231,0.0,0.675218853081663,9.631966099507562,0.9484827986336529,102.235552963369
49,1470.0,2018-07-31,9.22886269038879,0.0,0.6821090824646601,10.0540343475955,0.918017826435827,102.245767206389
50,1500.0,2018-07-31,9.792747392123651,0.0,0.7238421562254391,10.6561240427725,0.919010994645886,102.259485091138
51,1530.0,2018-07-31,10.571551321281301,0.0,0.7815595158733721,11.5395804143666,0.9164630038614381,102.285578761622
52,1560.0,2018-07-31,11.477909335044401,0.0,0.848555661184745,12.497409021523199,0.918638507703302,102.31754171571998
53,1590.0,2018-07-31,12.4002029314881,0.0,0.916717693548949,13.5006032667562,0.9187195374993271,102.363650200025
54,1620.0,2018-07-31,13.3786244488748,0.0,0.988464077534999,14.391671114654901,0.929723636119145,102.417388872402
