,Time (min),Date,Bioreactor 20 - CER,Bioreactor 20 - Feed#1 flow rate,Bioreactor 20 - Off-gas CO2%,Bioreactor 20 - OUR,Bioreactor 20 - RQ,Bioreactor 20 - Volume
0,0.0,2018-07-30,,0.0,,,,100.0
1,30.0,2018-07-30,,0.0,,,,100.0
2,60.0,2018-07-30,,0.0,0.018007160723682997,,,100.0
3,90.0,2018-07-30,,0.0,0.0179387073848138,,,100.0
4,120.0,2018-07-30,,0.0,0.0176268408423702,,,100.0
5,150.0,2018-07-30,,0.0,0.0171782885100364,,,100.0
6,180.0,2018-07-30,,0.0,0.016993507619117,,,100.0
7,210.0,2018-07-30,,0.0,0.0169721808080897,,,100.0
8,240.0,2018-07-30,,0.0,0.0169786722535982,,,100.0
9,270.0,2018-07-30,,0.0,0.0169432732475181,,,100.0
10,300.0,2018-07-30,,0.0,0.0169645282511409,,,100.0
11,330.0,2018-07-30,,0.0,0.0169716262523877,,,100.0
12,360.0,2018-07-30,,0.0,0.016992902922653,,,100.0
13,390.0,2018-07-30,,0.0,0.0169786029202257,,,100.0
14,420.0,2018-07-30,,0.0,0.016964545571187,,,100.0
15,450.0,2018-07-30,,0.0,0.0170001222437701,,,100.0
16,480.0,2018-07-30,,0.0,0.0169501545820627,,,100.0
17,510.0,2018-07-30,,0.0,0.017000000923871997,,,100.0
18,540.0,2018-07-30,,0.0,0.0170284448757199,,,100.0
19,570.0,2018-07-31,,0.0,0.017014209899818,,,100.0
20,600.0,2018-07-31,,0.0,0.0078724464392164,,,99.99596431615758
21,630.0,2018-07-31,,0.0,0.0,,,99.980810658362
22,660.0,2018-07-31,,0.0,0.0,,,99.9650168522136
23,690.0,2018-07-31,,0.0,0.0,,,100.219327323822
24,720.0,2018-07-31,,0.0,0.0,,,100.38268144851999
25,750.0,2018-07-31,,0.0,0.0,,,100.39283913514299
26,780.0,2018-07-31,,0.0,0.0,,,100.37705561503401
27,810.0,2018-07-31,,0.0,0.0,,,100.361274481622
28,840.0,2018-07-31,,0.0,0.0,,,100.345495272132
29,870.0,2018-07-31,,0.0,0.0,,,100.346353745345
30,900.0,2018-07-31,,0.0,0.0,,,100.338544391293
31,930.0,2018-07-31,,0.0,0.0,,,100.32276744123101
32,960.0,2018-07-31,,0.0,0.0,,,100.306990213348
33,990.0,2018-07-31,,0.0,0.0,,,100.291214430143
34,1020.0,2018-07-31,,0.0,0.0,,,100.275440820704
35,1050.0,2018-07-31,,0.0,0.0,,,100.259660974762
36,1080.0,2018-07-31,,0.0,0.0,,,100.243883119546
37,1110.0,2018-07-31,,0.0,0.0,,,100.22810179506399
38,1140.0,2018-07-31,,0.0,0.0,,,100.21232671978201
39,1170.0,2018-07-31,0.0905751798989933,0.0,0.00475630875061365,,,101.60873346782301
40,1200.0,2018-07-31,0.433943651955302,0.0,0.0320850953833337,1.17233996064121,0.387193896885562,102.180937811334
41,1230.0,2018-07-31,0.9362701328986691,0.0,0.0692222060342152,1.7873275052805302,0.5232161307813211,102.180188709942
42,1260.0,2018-07-31,2.01977937923036,0.0,0.149360900366823,2.98593856649235,0.6735877482422291,102.19016197603202
43,1290.0,2018-07-31,3.51613859961856,0.0,0.26007744445334097,4.407607844506719,0.7972746028487121,102.20415374557501
44,1320.0,2018-07-31,5.51972156985718,0.0,0.40812014986421,6.17497068887907,0.8943895969495659,102.217058405344
45,1350.0,2018-07-31,7.7045876749375495,0.0,0.569845111101406,8.6412215033375,0.8944079769658041,102.23915865654499
46,1380.0,2018-07-31,9.701209255348141,0.0,0.7171508987549859,10.6967358627612,0.9098803131462391,102.270007084662
47,1410.0,2018-07-31,9.32028819901992,0.0,0.6886153613382441,9.320466623404311,1.00029169883988,102.2777332169
48,1440.0,2018-07-31,9.271241461245939,0.0,0.68502550615995,9.40005108069704,0.9865933191846171,102.27765971431499
49,1470.0,2018-07-31,9.578542737284991,0.0,0.708039412413691,9.702276373759481,0.987597888577376,102.28256171394001
50,1500.0,2018-07-31,10.160312618947,0.0,0.750944386858125,10.3159457620559,0.9850733279494991,102.29606344014
51,1530.0,2018-07-31,10.6816343579575,0.0,0.789549404609856,11.155390160012601,0.9576432566867259,102.318780717077
52,1560.0,2018-07-31,11.6926375147439,0.0,0.864349377522141,12.139820635599401,0.9633365693754821,102.358300779641
53,1590.0,2018-07-31,12.5022221557396,0.0,0.924354930444338,13.0933380076955,0.9548404774214501,102.41134383044201
54,1620.0,2018-07-31,13.445171944276499,0.0,0.9939901754257541,14.012028341532,0.9595647087767629,102.461114329182
55,1650.0,2018-07-31,14.335925842473099,0.0,1.05954640496708,14.8315754782609,0.966640854444775,102.52176500811399
56,1680.0,2018-07-31,15.0539286785515,0.0,1.11270417041921,15.4971436858303,0.971447742418192,102.588244463997
57,1710.0,2018-07-31,15.716701484523199,0.0,1.1616815173081398,15.9459726339499,0.985753704670822,102.66196466817699
58,1740.0,2018-07-31,15.785457718996598,0.0,1.1665811492748501,15.7470608990435,1.00256858071751,102.735992406341
59,1770.0,2018-07-31,16.2077627254735,0.0,1.19797571420315,16.2485177647135,0.9976375242979141,102.81356429758301
60,1800.0,2018-07-31,16.8180467563995,0.0,1.2427458405068201,16.8412109927756,0.998769697407659,102.90507901955401
61,1830.0,2018-07-31,17.229221176403197,0.0,1.2733820438114098,17.304347167998298,0.995754294669866,102.996362847412
62,1860.0,2018-07-31,17.695122284824,0.0,1.30785654983769,17.6686283392556,1.00162957878718,103.08793634187201
63,1890.0,2018-07-31,15.882349679063001,0.0,1.1729158441961,14.642702255522199,1.14775713114033,103.170261944816
