,Time (min),Date,Bioreactor 18 - CER,Bioreactor 18 - Feed#1 flow rate,Bioreactor 18 - Off-gas CO2%,Bioreactor 18 - OUR,Bioreactor 18 - RQ,Bioreactor 18 - Volume
0,0.0,2018-07-30,,0.0,,,,100.0
1,30.0,2018-07-30,,0.0,,,,100.0
2,60.0,2018-07-30,,0.0,0.0171258196471989,,,100.0
3,90.0,2018-07-30,,0.0,0.0170067920234468,,,100.0
4,120.0,2018-07-30,,0.0,0.0169590861949433,,,100.0
5,150.0,2018-07-30,,0.0,0.0163187777961275,,,100.0
6,180.0,2018-07-30,,0.0,0.0160294200981981,,,100.0
7,210.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
8,240.0,2018-07-30,,0.0,0.0159928854187773,,,100.0
9,270.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
10,300.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
11,330.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
12,360.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
13,390.0,2018-07-30,,0.0,0.0159857657442852,,,100.0
14,420.0,2018-07-30,,0.0,0.0159857917443137,,,100.0
15,450.0,2018-07-30,,0.0,0.0159928940854535,,,100.0
16,480.0,2018-07-30,,0.0,0.0159928897521432,,,100.0
17,510.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
18,540.0,2018-07-30,,0.0,0.0160000007599592,,,100.0
19,570.0,2018-07-31,,0.0,0.0160000007599592,,,100.0
20,600.0,2018-07-31,,0.0,0.00794136467048653,,,99.9959565979742
21,630.0,2018-07-31,,0.0,0.0,,,99.98079907691799
22,660.0,2018-07-31,,0.0,0.0,,,99.9650033583049
23,690.0,2018-07-31,,0.0,0.0,,,100.217869410074
24,720.0,2018-07-31,,0.0,0.0,,,100.36089601749201
25,750.0,2018-07-31,,0.0,0.0,,,100.36373650041901
26,780.0,2018-07-31,,0.0,0.0,,,100.36918293602699
27,810.0,2018-07-31,,0.0,0.0,,,100.36032924759
28,840.0,2018-07-31,,0.0,0.0,,,100.344553728921
29,870.0,2018-07-31,,0.0,0.0,,,100.328777576755
30,900.0,2018-07-31,,0.0,0.0,,,100.31300005038099
31,930.0,2018-07-31,,0.0,0.0,,,100.29721975702299
32,960.0,2018-07-31,,0.0,0.0,,,100.28144532103701
33,990.0,2018-07-31,,0.0,0.0,,,100.26566657711099
34,1020.0,2018-07-31,,0.0,0.0,,,100.24988781647801
35,1050.0,2018-07-31,,0.0,0.0,,,100.234114845336
36,1080.0,2018-07-31,,0.0,0.0,,,100.218339461069
37,1110.0,2018-07-31,,0.0,0.0,,,100.20256144763701
38,1140.0,2018-07-31,,0.0,0.0,,,100.18678602092399
39,1170.0,2018-07-31,0.0888630474173156,0.0,0.00470688592199676,,,101.60025612870399
40,1200.0,2018-07-31,0.455670878672461,0.0,0.0336864082620518,1.33364386198348,0.33669452161879704,102.155653551854
41,1230.0,2018-07-31,1.05971147358634,0.0,0.0783384149021383,2.0152278979809197,0.519547680322912,102.146823955064
42,1260.0,2018-07-31,2.13759420412709,0.0,0.158050044563771,3.26483590567531,0.650559768009355,102.15860097289
43,1290.0,2018-07-31,3.66658889465688,0.0,0.271122212811159,4.71960544188623,0.774558685570253,102.171644862997
44,1320.0,2018-07-31,5.547750543249809,0.0,0.410339563867903,6.47842503953871,0.857044982164209,102.188926275189
45,1350.0,2018-07-31,7.791504478903559,0.0,0.5760455204710739,8.857699270224732,0.882456019367582,102.21047701787201
46,1380.0,2018-07-31,9.26592778303702,0.0,0.685112093711275,10.087708292274598,0.9235055861132451,102.238082529298
47,1410.0,2018-07-31,8.607906477521501,0.0,0.635940216286409,8.906342778997429,0.9665948007623809,102.248138504939
48,1440.0,2018-07-31,8.744533074409409,0.0,0.645940070030534,9.00643410741807,0.971291427878733,102.24945332742901
49,1470.0,2018-07-31,9.072728819332141,0.0,0.6701745953223671,9.35641285870582,0.9699443786857271,102.25655978158501
50,1500.0,2018-07-31,9.453688261592381,0.0,0.698930286603976,9.88510064995582,0.956629429838396,102.274131923554
51,1530.0,2018-07-31,10.2101429348675,0.0,0.7543723811787559,10.512613692550499,0.971158461480826,102.298987141076
52,1560.0,2018-07-31,10.6562818622764,0.0,0.7876737478509991,11.315353137563699,0.942152318785249,102.345891481575
53,1590.0,2018-07-31,11.682614424591101,0.0,0.863460745795515,12.111300272314999,0.964809752026782,102.384226847698
54,1620.0,2018-07-31,12.4218584713183,0.0,0.918000587246113,12.996391567232001,0.955866392557954,102.432824156588
