Time (hours),mol-Glucose,mol-Serine,C-mol-Biomass
2.0,0.008247296,0.0,0.000553831
3.5,0.007877992,0.0,0.000717018
5.0,0.007192481999999999,0.0,0.001717484
6.5,0.006957466999999999,0.00018346400000000002,0.002650645
8.0,0.00627956,0.00036000800000000004,0.0032142909999999998
9.5,0.005727586999999999,0.0007061760000000001,0.003883311
12.5,0.00467803,0.001187366,0.005314391999999999
16.0,0.003177671,0.0019385989999999998,0.007106993000000001
20.0,0.000901145,0.003503424,0.011325052
23.5,2.40088e-05,0.0038947240000000004,0.010865276
