,Time (hours),Volume (L),Biomass (g),Glucose (g),Biomass initial (g),Glucose initial (g),a,b,c
0,1.852222222222218,0.20088648724765432,0.01564905735659227,1.8661992023617784,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
1,2.854166666666665,0.19974010477430554,0.01502844548321875,1.9237098171280425,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
2,3.903888888888887,0.19859376046191357,0.016074178971787284,1.9728957158480995,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
3,4.933055555555558,0.19752420763714507,0.016813260554073787,1.9279799779627453,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
4,7.041666666666668,0.19550090659722222,0.019464070260819446,1.8969323893499659,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
5,9.568055555555556,0.19337415944714503,0.026820995915319015,1.8998903034276613,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
6,17.21944444,0.18891112343845706,0.5635218812169176,0.8821637106944636,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
7,19.74361111,0.18809117720373103,0.6389833471965151,,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
8,22.26833333,0.18759482537099711,0.652267207814957,0.12810619901179704,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
9,,,,,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
10,,,,,0.01564905735659227,1.8661992023617784,0.0254,1.2637,203.14
