,Time (hours),Glucose (g),Biomass (g),Serine (g)
0,12.5,,0.2095037769119166,
1,18.0,0.015196453746951187,0.5166617046920483,0.046661458792926644
2,23.0,0.015416103471040932,0.8029683203729482,0.24749565617468833
3,28.0,,0.9124239825276871,0.38865167815927015
4,33.0,0.012689369559323446,1.2804363093390878,0.5632083949478534
