,Time (hours),Glucose (g),Biomass (g),Serine (g)
0,12.5,,0.20940595121215655,
1,17.5,0.03654859422757749,0.5160509829617086,
2,22.5,,0.8000553200172202,0.21021802103749831
3,28.0,,0.9139636125539358,0.39907789539028615
4,33.0,0.000418245736694278,1.281970193943525,0.6136374740419568
