,Time (min),Date,Bioreactor 6 - CER,Bioreactor 6 - Off-gas CO2%,Bioreactor 6 - OUR,Bioreactor 6 - RQ,Bioreactor 6 - Volume
0,0.0,2018-07-30,,,,,105.48556833333299
1,30.0,2018-07-30,,,,,200.0
2,60.0,2018-07-30,,0.0108116510491063,,,200.0
3,90.0,2018-07-30,,0.0105958659482738,,,200.0
4,120.0,2018-07-30,,0.010037399934879,,,200.0
5,150.0,2018-07-30,,0.00993600509890971,,,200.0
6,180.0,2018-07-30,,0.00964287571693469,,,200.0
7,210.0,2018-07-30,,0.00919336474385885,,,200.0
8,240.0,2018-07-30,,0.009064098290187509,,,200.0
9,270.0,2018-07-30,,0.009092516295040029,,,200.0
10,300.0,2018-07-30,,0.00911391863202037,,,200.0
11,330.0,2018-07-30,,0.009184967977444041,,,200.0
12,360.0,2018-07-30,,0.00914261838937938,,,200.0
13,390.0,2018-07-30,,0.00908481587445641,,,200.0
14,420.0,2018-07-30,,0.00903611361876713,,,200.0
15,450.0,2018-07-30,,0.00902133261617767,,,200.0
16,480.0,2018-07-30,,0.00904972895438775,,,200.0
17,510.0,2018-07-30,,0.00911016635515532,,,200.0
18,540.0,2018-07-30,,0.009579695260533759,,,200.0
19,570.0,2018-07-31,,0.009736082398250941,,,200.0
20,600.0,2018-07-31,,0.0050302626392357,,,199.995928750079
21,630.0,2018-07-31,,0.0,,,199.980779766017
22,660.0,2018-07-31,,0.0,,,199.965006242858
23,690.0,2018-07-31,,0.0,,,200.237498660859
24,720.0,2018-07-31,,0.0,,,200.27440186599998
25,750.0,2018-07-31,,0.0,,,200.258626549322
26,780.0,2018-07-31,,0.0,,,200.242850753831
27,810.0,2018-07-31,,0.0,,,200.22707829036202
28,840.0,2018-07-31,,0.0,,,200.211302254233
29,870.0,2018-07-31,,0.0,,,200.195522957489
30,900.0,2018-07-31,,0.0,,,200.179747758345
31,930.0,2018-07-31,,0.0,,,200.16397078874598
32,960.0,2018-07-31,,0.0,,,200.148192013455
33,990.0,2018-07-31,,0.0,,,200.132423089528
34,1020.0,2018-07-31,,0.0,,,200.11665137883202
35,1050.0,2018-07-31,,0.0,,,200.100872831677
36,1080.0,2018-07-31,,0.0,,,200.085096263773
37,1110.0,2018-07-31,,0.0,,,200.069316547612
38,1140.0,2018-07-31,,0.0,,,200.05353559668097
39,1170.0,2018-07-31,,0.0,,,200.03775589237
40,1200.0,2018-07-31,,0.0,,,200.021977887427
41,1230.0,2018-07-31,,0.0,,,200.006198514577
42,1260.0,2018-07-31,,0.0,,,199.990419480614
43,1290.0,2018-07-31,,0.0,,,199.974643438395
44,1320.0,2018-07-31,,0.0,,,199.958867391074
45,1350.0,2018-07-31,,0.0,,,199.943077755379
46,1380.0,2018-07-31,,0.0,,,199.927298206622
