,Time (min),Date,Bioreactor 9 - CER,Bioreactor 9 - Off-gas CO2%,Bioreactor 9 - OUR,Bioreactor 9 - RQ,Bioreactor 9 - Volume
0,0.0,2018-07-30,,,,,105.33045722222201
1,30.0,2018-07-30,,,,,200.0
2,60.0,2018-07-30,,0.0255979995476334,,,200.0
3,90.0,2018-07-30,,0.0252996395883103,,,200.0
4,120.0,2018-07-30,,0.0250273337103426,,,200.0
5,150.0,2018-07-30,,0.0246977314489585,,,200.0
6,180.0,2018-07-30,,0.0240720268016694,,,200.0
7,210.0,2018-07-30,,0.0239965868747235,,,200.0
8,240.0,2018-07-30,,0.0239786802049828,,,200.0
9,270.0,2018-07-30,,0.0239928978740632,,,200.0
10,300.0,2018-07-30,,0.0239786758716487,,,200.0
11,330.0,2018-07-30,,0.0240000002086163,,,200.0
12,360.0,2018-07-30,,0.0239715605371213,,,200.0
13,390.0,2018-07-30,,0.023836455847476002,,,200.0
14,420.0,2018-07-30,,0.0236002810441242,,,200.0
15,450.0,2018-07-30,,0.0237441475592611,,,200.0
16,480.0,2018-07-30,,0.023687002524286002,,,200.0
17,510.0,2018-07-30,,0.0237723051698497,,,200.0
18,540.0,2018-07-30,,0.0239785718716317,,,200.0
19,570.0,2018-07-31,,0.0240000002086163,,,200.0
20,600.0,2018-07-31,,0.0139264897194328,,,199.99593764029498
21,630.0,2018-07-31,,0.000351249425461229,,,199.980804447151
22,660.0,2018-07-31,,0.0,,,199.965041848016
23,690.0,2018-07-31,,0.0,,,200.33401016258998
24,720.0,2018-07-31,,0.0,,,200.426547398475
25,750.0,2018-07-31,,0.0,,,200.44572896946
26,780.0,2018-07-31,,0.0,,,200.46649989778
27,810.0,2018-07-31,,0.0,,,200.48497337547403
28,840.0,2018-07-31,,0.0,,,200.496802101595
29,870.0,2018-07-31,,0.0,,,200.50101642839698
30,900.0,2018-07-31,,0.0,,,200.50651491772598
31,930.0,2018-07-31,,0.0,,,200.50543774535998
32,960.0,2018-07-31,,0.0,,,200.50032832639099
33,990.0,2018-07-31,,0.0,,,200.484554422709
34,1020.0,2018-07-31,,0.0,,,200.48563203743697
35,1050.0,2018-07-31,,0.0,,,200.47906670625702
36,1080.0,2018-07-31,,0.0,,,200.463294808429
37,1110.0,2018-07-31,,0.0,,,200.447521600343
38,1140.0,2018-07-31,,0.0,,,200.435480041457
39,1170.0,2018-07-31,,0.0,,,200.44232546600102
40,1200.0,2018-07-31,,0.0,,,200.426553104305
41,1230.0,2018-07-31,,0.0,,,200.41077614675203
42,1260.0,2018-07-31,,0.0,,,200.394999895729
43,1290.0,2018-07-31,,0.0,,,200.37922287846297
44,1320.0,2018-07-31,,0.0,,,200.363441843689
45,1350.0,2018-07-31,,0.0,,,200.347665426567
46,1380.0,2018-07-31,,0.0,,,200.33188835726799
47,1410.0,2018-07-31,,0.0,,,200.31610702611698
48,1440.0,2018-07-31,,0.0,,,200.30032444616901
49,1470.0,2018-07-31,,0.0,,,200.284541277412
50,1500.0,2018-07-31,,0.0,,,200.268759098241
51,1530.0,2018-07-31,,0.0,,,200.25297702064097
52,1560.0,2018-07-31,,0.0,,,200.23719909998002
53,1590.0,2018-07-31,,0.0,,,200.22142489969102
54,1620.0,2018-07-31,,0.0,,,200.227440302962
55,1650.0,2018-07-31,,0.0,,,200.21550566625803
56,1680.0,2018-07-31,,0.0,,,200.19972915744302
57,1710.0,2018-07-31,,0.0,,,200.183952302953
58,1740.0,2018-07-31,,0.0,,,200.168171712375
59,1770.0,2018-07-31,,0.0,,,200.152391711104
60,1800.0,2018-07-31,,0.0,,,200.136611940047
61,1830.0,2018-07-31,,0.0,,,200.120832539121
62,1860.0,2018-07-31,,0.0,,,200.105052350272
63,1890.0,2018-07-31,,0.0,,,200.08927165705398
64,1920.0,2018-07-31,,0.0,,,200.073487326335
65,1950.0,2018-07-31,,0.0,,,200.05770791817002
66,1980.0,2018-07-31,,0.0,,,200.041932327326
67,2010.0,2018-08-01,,0.0,,,200.02615164841703
68,2040.0,2018-08-01,,0.0,,,200.010374886679
69,2070.0,2018-08-01,,0.0,,,199.99459826885501
70,2100.0,2018-08-01,,0.0,,,199.97882484252202
71,2130.0,2018-08-01,,0.0,,,199.96304733538602
72,2160.0,2018-08-01,,0.0,,,199.94727215443802
73,2190.0,2018-08-01,,0.0,,,199.931498151227
74,2220.0,2018-08-01,,0.0,,,199.915721529926
75,2250.0,2018-08-01,,0.0,,,199.899940832283
76,2280.0,2018-08-01,,0.0,,,199.88416014088
77,2310.0,2018-08-01,,0.0,,,199.868382968335
78,2340.0,2018-08-01,,0.0,,,199.852608071474
79,2370.0,2018-08-01,,0.0,,,199.836833510519
80,2400.0,2018-08-01,,0.0,,,199.821057130178
81,2430.0,2018-08-01,,0.0,,,199.805280957371
82,2460.0,2018-08-01,,0.0,,,199.789509467345
83,2490.0,2018-08-01,,0.0,,,199.773737733205
84,2520.0,2018-08-01,,0.0,,,199.757965886301
85,2550.0,2018-08-01,,0.0,,,199.74219512085898
86,2580.0,2018-08-01,0.0203957467996522,0.000791070054807838,,,200.55471935808103
87,2610.0,2018-08-01,0.0307418175437462,0.00598414560018321,,,203.195745445836
88,2640.0,2018-08-01,0.0,0.0158647659284073,,,203.452149563608
89,2670.0,2018-08-01,0.10664656539433001,0.0185777072966765,5.07620584579217,0.195383049803607,203.45076514771802
90,2700.0,2018-08-01,0.178107499459318,0.00657778844076299,,,203.027209783796
91,2730.0,2018-08-01,0.127185560785067,0.00468300693926105,,,201.60324328226102
92,2760.0,2018-08-01,0.17580281956442598,0.00647302085807709,,,201.539462086921
93,2790.0,2018-08-01,0.0833747615287259,0.00534916881641021,,,201.325740715895
94,2820.0,2018-08-01,0.10511977489565302,0.0157383669771611,,,199.72674580364398
95,2850.0,2018-08-01,0.18624102657063196,0.0274455952099107,,,199.710310388534
96,2880.0,2018-08-01,0.232058476315561,0.0341756033066187,,,199.62434649364602
97,2910.0,2018-08-01,0.25582405458143,0.0374901364936563,,,197.936788275837
98,2940.0,2018-08-01,0.277663644580009,0.0409058913540317,,,197.919826975201
99,2970.0,2018-08-01,0.306082010461243,0.0450973189752386,,,197.902780152541
100,3000.0,2018-08-01,0.33029349303925,0.0483042202364151,,,196.35715250240298
101,3030.0,2018-08-01,0.356683668663577,0.0525670654048717,,,196.12833891997
102,3060.0,2018-08-01,0.39684182705050497,0.05847702048755799,,,196.110921672323
103,3090.0,2018-08-01,0.46062602317350104,0.0678822402374205,,,196.09328002343398
104,3120.0,2018-08-01,0.549551097362896,0.0802712284274065,,,194.705309470229
105,3150.0,2018-08-01,0.692503588990569,0.10202297297756599,1.07379053917901,0.68284168982546,194.317302816768
