,Time (min),Date,Bioreactor 4 - CER,Bioreactor 4 - Off-gas CO2%,Bioreactor 4 - OUR,Bioreactor 4 - RQ,Bioreactor 4 - Volume
0,0.0,2018-07-30,,,,,105.562901666667
1,30.0,2018-07-30,,,,,200.0
2,60.0,2018-07-30,,0.009141806015285959,,,200.0
3,90.0,2018-07-30,,0.00909527796152048,,,200.0
4,120.0,2018-07-30,,0.00901361267035672,,,200.0
5,150.0,2018-07-30,,0.00897141263431331,,,200.0
6,180.0,2018-07-30,,0.008565448637476679,,,200.0
7,210.0,2018-07-30,,0.00836963562534622,,,200.0
8,240.0,2018-07-30,,0.00815504458331706,,,200.0
9,270.0,2018-07-30,,0.00819897261920424,,,200.0
10,300.0,2018-07-30,,0.00822759553998739,,,200.0
11,330.0,2018-07-30,,0.00819934222825261,,,200.0
12,360.0,2018-07-30,,0.00821205361687391,,,200.0
13,390.0,2018-07-30,,0.0080650406047966,,,200.0
14,420.0,2018-07-30,,0.00803544401378522,,,200.0
15,450.0,2018-07-30,,0.008056849336742021,,,200.0
16,480.0,2018-07-30,,0.008035559686218809,,,200.0
17,510.0,2018-07-30,,0.00809647369708387,,,200.0
18,540.0,2018-07-30,,0.00813118288955879,,,200.0
19,570.0,2018-07-31,,0.00815662859411483,,,200.0
20,600.0,2018-07-31,,0.00461966830109848,,,199.995924373747
21,630.0,2018-07-31,,0.0,,,199.980795625728
22,660.0,2018-07-31,,0.0,,,199.96504195113098
23,690.0,2018-07-31,,0.0,,,200.46017460485697
24,720.0,2018-07-31,,0.0,,,200.72603928542
25,750.0,2018-07-31,,0.0,,,200.73659596815102
26,780.0,2018-07-31,,0.0,,,200.720822613222
27,810.0,2018-07-31,,0.0,,,200.72218029748902
28,840.0,2018-07-31,,0.0,,,200.71266616715698
29,870.0,2018-07-31,,0.0,,,200.69689351465598
30,900.0,2018-07-31,,0.0,,,200.681117589257
31,930.0,2018-07-31,,0.0,,,200.66533920299702
32,960.0,2018-07-31,,0.0,,,200.64956199825698
33,990.0,2018-07-31,,0.0,,,200.63378342983398
34,1020.0,2018-07-31,,0.0,,,200.618006834882
35,1050.0,2018-07-31,,0.0,,,200.60222895498902
36,1080.0,2018-07-31,,0.0,,,200.586449089529
37,1110.0,2018-07-31,,0.0,,,200.570670123873
38,1140.0,2018-07-31,,0.0,,,200.572904533497
